benchmark,tool,runs,"budget",tgen,avgcovi,avgcovb,avgcovm
"OKIO-4","evosuite",6,60,63.1,0.388,0.273,0.179
"OKIO-5","evosuite",6,60,58.8,0.94,0.795,0.769
"OKIO-6","evosuite",6,60,48.9,0.79,0.815,0.833
"OKIO-7","evosuite",6,60,44.8,0.945,0.965,0.776
"OKIO-8","evosuite",6,60,67.2,0.816,0.579,0.46
"OKIO-9","evosuite",6,60,42.4,0.6,0.423,0.358
"REDISSON-10","evosuite",6,60,48.6,0,0,0
"REDISSON-1","evosuite",6,60,30.4,0.023,0,0
"REDISSON-2","evosuite",6,60,10.2,0.032,0.041,0
"REDISSON-3","evosuite",6,60,28.6,0,0,0
"REDISSON-4","evosuite",6,60,0,0,0,0
"REDISSON-5","evosuite",6,60,9.3,0,0,0
"REDISSON-6","evosuite",6,60,25.8,0,0,0
"REDISSON-7","evosuite",6,60,0,0,0,0
"REDISSON-8","evosuite",6,60,18.8,0.252,0.203,0.263
"REDISSON-9","evosuite",6,60,53.5,0.98,0.924,0.699
"WEBMAGIC-1","evosuite",6,60,53.1,0.279,0.178,0.34
"WEBMAGIC-2","evosuite",6,60,62.7,0.618,0.361,0.608
"WEBMAGIC-3","evosuite",6,60,58.3,0.983,0.653,0.907
"WEBMAGIC-4","evosuite",6,60,3.6,0,0,0
"WEBMAGIC-5","evosuite",6,60,50.4,0.247,0.216,0.25
"ZXING-10","evosuite",6,60,57.3,0.903,0.795,0.736
"ZXING-1","evosuite",6,60,58.7,0.427,0.327,0.161
"ZXING-2","evosuite",6,60,59.6,0.248,0.256,0.179
"ZXING-3","evosuite",6,60,56.2,0.977,0.908,0.654
"ZXING-4","evosuite",6,60,56.8,0.842,0.819,0.756
"ZXING-5","evosuite",6,60,59.8,0.846,0.779,0.535
"ZXING-6","evosuite",6,60,58,0.629,0.565,0.331
"ZXING-7","evosuite",6,60,57.8,0.981,0.973,0.87
"ZXING-8","evosuite",6,60,45.7,0.694,0.672,0.368
"ZXING-9","evosuite",6,60,43.2,0.912,0.914,0.57
"DUBBO-10","jtexpert",6,60,53.3,0.034,0,0
"DUBBO-2","jtexpert",6,60,55.3,0,0,0
"DUBBO-3","jtexpert",6,60,2.8,0,0,0
"DUBBO-4","jtexpert",6,60,52.4,0.724,0.645,0.635
